image_name,caption_number,caption
101001624.jpg,0,"The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood ."
110802332.jpg,1,"A hockey game is being played and a hockey player named "" David "" is trying to score against the goalie ."
1126137905.jpg,1,"A crowd of people standing next to a shack labeled "" Green Jungle . """
1126137905.jpg,3,"Crowd standing near "" GREEN JUNGLE "" exhibit at festival ."
11338041.jpg,1,"Three people enter a building with a handwritten sign that says "" Welcome Bikers . """
11338041.jpg,2,"A line of people wait to enter a building with a sign posted "" Welcome Bikers . """
11338041.jpg,3,"A group of people enter a doorway next to a red sign reading "" WELCOME Bikers "" ."
1141643526.jpg,2,"A man is making a "" rock "" gesture while standing on a stool in a crowded bar ."
114715590.jpg,2,"A skateboarder is does an "" ollie "" down a couple of stairs ."
1150429218.jpg,0,"A man in a gray cap , a pink tank top and short skirt , pink-and-black striped socks , and boots juggles knives in front of a brick building whose sign reads "" The Pump Room "" while onlookers watch ."
1158897994.jpg,2,"A man is sweeping a large blue surface that has "" Rock Bowl "" written on it ."
1165334998.jpg,4,"A crow watches as five people with "" Yong In Univ. "" outfits perform ."
1205490378.jpg,2,"A woman in a black shirt sitting behind a booth with a sign that reads "" Programmes & Ice Cream . """
1231348815.jpg,0,"A rickshaw puller in an Asian country smiling and making a "" thumbs up "" sign at the photographer ."
1231348815.jpg,1,"A man pulling a fancy rickshaw along a waterway smiles and gives the "" thumbs up "" sign ."
1248747267.jpg,0,"A man and woman are holding a sign that reads , "" Teaching Children for peace "" ."
1248747267.jpg,1,"A man and woman holding a sign that reads , "" Teaching children for peace . """
1248747267.jpg,2,"Two adults hold a sign which says "" Teaching Children for peace "" ."
1253275679.jpg,3,"Young boy with a black "" ADHD "" t-shirt nodding off"
1254659.jpg,0,"A sign that displays "" Mongolian BBQ "" shines above two employees in white shirts and caps and green aprons ."
1295698260.jpg,0,"A woman with a shopping bag labeled "" sale "" stands in a crowd next to a young man with a camera ."
1364747344.jpg,0,"s large man in a blue shirt and shorts leaning against a van in front of a store called "" Terrible 's """
137422713.jpg,0,"A group of people are sitting and standing holding a banner that stays , "" WE ARE DEMANDING . """
137422713.jpg,1,"A large group of protesters sitting in front of a sign reading "" We are demanding "" ."
137422713.jpg,2,"A large group of people is grouped around a banner reading "" We are demanding "" ."
137422713.jpg,3,"A night shot of people gathered around a sign that says "" We Are Demanding "" ."
137431253.jpg,0,"A girl is holding a green sign that says , "" invisible children no child should be a shoulder . """
137444338.jpg,0,"A group of people are sitting around a large white banner that says "" From New York . """
1387461595.jpg,1,"These men are standing next to a "" Penzance welcomes you "" stone ."
1401961581.jpg,0,"A girl sits in a harness ready to lift up into the air and behind her is a sign that says "" active . """
1409041007.jpg,0,"A man in front of a "" KitchenAid "" display speaks to a group of people ."
141364977.jpg,0,"Two young women dancers , one brunette and one blond , wearing similar red and black costumes and occupying a similarly colored "" dance cage "" , entertain a gathering crowd ."
1415147666.jpg,3,"Two women are standing amidst kitchen appliances and under a sign that says "" KitchenAid . """
143428094.jpg,0,"At a street festival , a boy and a man cook some sort of "" Texas Smoked "" meat while pedestrians pass by ."
1436661786.jpg,0,"A yellow taxi cab with a sign reading "" MAMA MIA ! "" on it , and a guy sitting in the back ."
145291221.jpg,1,"Children playing in front of a sign for the "" Hartman Prehistoric Garden "" ."
145754126.jpg,0,"A man wearing a white t-shirt with a green number 3 on the back is on his knees shining black shoes propped up on a box labeled "" SHOESHINE "" ."
1459024518.jpg,0,"A man is standing in the doorway of a building containing a garage door painted with "" No Parking . """
1461886497.jpg,1,"A young boy wearing a red bandanna is having his face painted with "" Free B.. . "" in red letters ."
1461886497.jpg,4,"A child wearing a red bandanna has the word "" free "" written on her cheek ."
1479513774.jpg,1,"A woman in a green jacket presses the "" Do Not Walk "" button so she can cross the road ."
149150917.jpg,1,"A young person in a hat is coming through an entrance labeled "" no fumar "" ( no smoking ) ."
1527333441.jpg,0,"A man in a blue shirt and jeans stands behind a sign that says "" Mark ' Mom ' Finley "" ."
153374889.jpg,1,"There is big hill of dirt behind signs that say "" Ramp Closed . """
15641879.jpg,0,"A man in a sweatshirt reading "" Alaska "" at a lottery ticket and cigarette selling stand ."
15641879.jpg,2,"A man in a sweatshirt reading "" Alaska "" sells lottery tickets ."
157557961.jpg,0,"A young man in a black shirt is looking at and pointing to a message on a giant machine bearing the brand name "" Blackberry . """
1577697374.jpg,0,"A woman and her daughter measuring themselves against a giant ruler at "" Washington Farms "" ."
158857536.jpg,3,"A professed "" Naked Cowboy "" protests outside of the Bank of America building ."
1614180289.jpg,1,"A little boy and adult woman are playing "" store clerk "" with a toy cash register and basket of food ."
